CaseID,Utterance,Split,Noise,NominalSNR_dB,Method,InputSNR_dB,OutputSNR_dB,SNRImprovement_dB,STOI,Runtime_s,NoiseVariation_dB,PeakAbsolute,ProxySpeechMissFraction,ProxyNonSpeechFalseAlarmFraction,UpdateOnSpeechProxyFraction,NoiseUpdateFraction
sp16_street_0dB,sp16,development,street,0,vad,-1.01480119671721,4.16272481868742,5.17752601540463,0.709407924399477,0.016238,4.86571930377723,0.727952802942858,0.218181818181818,0.371794871794872,0.218181818181818,0.427272727272727
sp16_street_5dB,sp16,development,street,5,unprocessed,4.05437829700808,4.05437829700808,0,0.775737711069703,NaN,5.36690856506273,0.5927734375,NaN,NaN,NaN,NaN
sp16_street_5dB,sp16,development,street,5,fixed,4.05437829700808,10.1352576122683,6.08087931526022,0.778058251412371,0.015976,5.36690856506273,0.565016905079715,0.254545454545455,0.205128205128205,0,0
sp16_street_5dB,sp16,development,street,5,vad,4.05437829700808,10.3238993716935,6.2695210746854,0.762465293058319,0.016493,5.36690856506273,0.553587052931264,0.345454545454545,0.0641025641025641,0.345454545454545,0.604545454545454
sp16_street_10dB,sp16,development,street,10,unprocessed,9.4225134245082,9.4225134245082,0,0.855825259710008,NaN,8.08797560610036,0.574951171875,NaN,NaN,NaN,NaN
sp16_street_10dB,sp16,development,street,10,fixed,9.4225134245082,11.4963823468834,2.07386892237522,0.86035925173722,0.015927,8.08797560610036,0.570786439065357,0.318181818181818,0.128205128205128,0,0
sp16_street_10dB,sp16,development,street,10,vad,9.4225134245082,12.5756390966259,3.15312567211774,0.867140169396743,0.015679,8.08797560610036,0.565555863108116,0.290909090909091,0.141025641025641,0.290909090909091,0.522727272727273
sp16_street_15dB,sp16,development,street,15,unprocessed,14.0104162447928,14.0104162447928,0,0.913091926457919,NaN,4.83520754325154,0.592071533203125,NaN,NaN,NaN,NaN
sp16_street_15dB,sp16,development,street,15,fixed,14.0104162447928,16.7406236262272,2.73020738143435,0.945236859337043,0.019641,4.83520754325154,0.595865588172319,0.0454545454545455,0.538461538461538,0,0
sp16_street_15dB,sp16,development,street,15,vad,14.0104162447928,17.0565013924772,3.04608514768437,0.9418649644374,0.019489,4.83520754325154,0.597173554876051,0.0545454545454545,0.435897435897436,0.0545454545454545,0.304545454545455
sp21_car_0dB,sp21,evaluation,car,0,unprocessed,-0.526002213946666,-0.526002213946666,0,0.60137221815995,NaN,2.71969707725742,0.395538330078125,NaN,NaN,NaN,NaN
sp21_car_0dB,sp21,evaluation,car,0,fixed,-0.526002213946666,5.19171268457566,5.71771489852233,0.595700119672159,0.026821,2.71969707725742,0.29470494711191,0.438095238095238,0,0,0
sp21_car_0dB,sp21,evaluation,car,0,vad,-0.526002213946666,4.9851824879959,5.51118470194256,0.600059981090336,0.025987,2.71969707725742,0.253353564941311,0.442857142857143,0,0.442857142857143,0.636094674556213
sp21_car_5dB,sp21,evaluation,car,5,unprocessed,4.40871979193054,4.40871979193054,0,0.749389047954799,NaN,4.10499239203702,0.38214111328125,NaN,NaN,NaN,NaN
sp21_car_5dB,sp21,evaluation,car,5,fixed,4.40871979193054,7.83298248656468,3.42426269463414,0.754199880222212,0.026635,4.10499239203702,0.359842347829697,0.128571428571429,0.388059701492537,0,0
sp21_car_5dB,sp21,evaluation,car,5,vad,4.40871979193054,7.99721392327915,3.58849413134861,0.744545707000349,0.021989,4.10499239203702,0.341023920786105,0.195238095238095,0.283582089552239,0.195238095238095,0.399408284023669
sp21_car_10dB,sp21,evaluation,car,10,unprocessed,9.40715480040452,9.40715480040452,0,0.838153628022268,NaN,2.65065440950148,0.338470458984375,NaN,NaN,NaN,NaN
sp21_car_10dB,sp21,evaluation,car,10,fixed,9.40715480040452,13.3751627683493,3.96800796794477,0.846353270183949,0.026616,2.65065440950148,0.327846337959942,0.019047619047619,0.462686567164179,0,0
sp21_car_10dB,sp21,evaluation,car,10,vad,9.40715480040452,13.271256694778,3.86410189437345,0.846697370670561,0.025573,2.65065440950148,0.321120086902895,0.0714285714285714,0.17910447761194,0.0714285714285714,0.340236686390533
sp21_car_15dB,sp21,evaluation,car,15,unprocessed,14.4688054675997,14.4688054675997,0,0.941916207185928,NaN,2.14737666664215,0.350006103515625,NaN,NaN,NaN,NaN
sp21_car_15dB,sp21,evaluation,car,15,fixed,14.4688054675997,16.9357940409633,2.46698857336365,0.930959846173845,0.026739,2.14737666664215,0.334061360993073,0.0285714285714286,0.0895522388059701,0,0
sp21_car_15dB,sp21,evaluation,car,15,vad,14.4688054675997,16.9267795057021,2.4579740381024,0.929450190178962,0.026589,2.14737666664215,0.341437776443668,0.0285714285714286,0.104477611940299,0.0285714285714286,0.310650887573964
sp21_street_0dB,sp21,evaluation,street,0,unprocessed,-0.572092951902222,-0.572092951902222,0,0.655689739529706,NaN,5.94329585967698,0.39495849609375,NaN,NaN,NaN,NaN
sp21_street_0dB,sp21,evaluation,street,0,fixed,-0.572092951902222,4.19793365678815,4.77002660869037,0.630675415391165,0.021559,5.94329585967698,0.265905635663607,0.138095238095238,0.164179104477612,0,0
sp21_street_0dB,sp21,evaluation,street,0,vad,-0.572092951902222,4.64329067094827,5.21538362285049,0.640979359716086,0.021203,5.94329585967698,0.254584097621487,0.142857142857143,0.313432835820896,0.142857142857143,0.325443786982249
sp21_street_5dB,sp21,evaluation,street,5,unprocessed,4.39888415064871,4.39888415064871,0,0.730990350929862,NaN,7.01970110585406,0.35699462890625,NaN,NaN,NaN,NaN
sp21_street_5dB,sp21,evaluation,street,5,fixed,4.39888415064871,8.21149662064694,3.81261246999823,0.731327688648206,0.021347,7.01970110585406,0.316891643976643,0.0714285714285714,0.283582089552239,0,0
sp21_street_5dB,sp21,evaluation,street,5,vad,4.39888415064871,8.61092947639706,4.21204532574834,0.721041479138284,0.021199,7.01970110585406,0.311056233924657,0.0714285714285714,0.283582089552239,0.0714285714285714,0.251479289940828
sp21_street_10dB,sp21,evaluation,street,10,unprocessed,9.35591270483129,9.35591270483129,0,0.897452137795585,NaN,10.9556271773833,0.334808349609375,NaN,NaN,NaN,NaN
sp21_street_10dB,sp21,evaluation,street,10,fixed,9.35591270483129,10.9503796124621,1.59446690763084,0.902636189842404,0.021779,10.9556271773833,0.327296253394265,0.019047619047619,0.925373134328358,0,0
sp21_street_10dB,sp21,evaluation,street,10,vad,9.35591270483129,11.6631905533687,2.30727784853739,0.896167972221475,0.022009,10.9556271773833,0.32451120000158,0.0238095238095238,0.850746268656716,0.0238095238095238,0.103550295857988
sp21_street_15dB,sp21,evaluation,street,15,unprocessed,14.4194098880276,14.4194098880276,0,0.949318178530966,NaN,6.0274964853906,0.34356689453125,NaN,NaN,NaN,NaN
sp21_street_15dB,sp21,evaluation,street,15,fixed,14.4194098880276,16.9022531906134,2.48284330258573,0.941373800463264,0.021734,6.0274964853906,0.335477119197841,0.0142857142857143,0.462686567164179,0,0
sp21_street_15dB,sp21,evaluation,street,15,vad,14.4194098880276,16.8814092181566,2.46199933012895,0.939086197493638,0.02148,6.0274964853906,0.335631057155219,0.0142857142857143,0.417910447761194,0.0142857142857143,0.162721893491124
